"ボタンのテキスト","ボタンタイプ","ページパス","リンク先アイテム","リンク詳細","ユニーク訪問者数","ユニーククリック数","クリック率"
"メンバー","ボタン","/company","ウェブアドレス","anchors-m9v0lzmn","858","161","18.8%"
"会社概要","ボタン","/company","ウェブアドレス","anchors-m9v0isvc2","858","116","13.5%"
"パートナー","ボタン","/company","ウェブアドレス","anchors-m8vd67wy4","858","71","8.3%"
"採用情報を見る","ボタン","/","ウェブアドレス","採用情報","1,547","66","4.3%"
"会社概要","ボタン","/","ウェブアドレス","会社情報","1,547","64","4.1%"
"CEOインタビュー","ボタン","/","ウェブアドレス","CEOインタビュー","1,547","62","4%"
"募集職種","ボタン","/employment","ウェブアドレス","anchors-m9vkmyey1","294","58","19.7%"
"チーム紹介","ボタン","/","ウェブアドレス","anchors-m9v0lzmn","1,547","55","3.6%"
"Up","ボタン","/","ウェブアドレス","記事","1,547","54","3.5%"
"プロジェクトを見る","ボタン","/project","ウェブアドレス","https://www.elith.ai/project/case-005","335","34","10.1%"
"ボタン","ボタン","/","ウェブアドレス","研究","1,547","30","1.9%"
"会社概要","ボタン","/company","ウェブアドレス","会社情報","858","30","3.5%"
"プロジェクトを見る","ボタン","/project","ウェブアドレス","https://www.elith.ai/project/case-009","335","30","9%"
"お問い合わせ","ボタン","/","ウェブアドレス","お問い合わせフォーム","1,547","29","1.9%"
"News一覧を見る","ボタン","/","ウェブアドレス","https://www.elith.ai/news","1,547","28","1.8%"
"チーム紹介","ボタン","/company","ウェブアドレス","anchors-m9v0lzmn","858","27","3.1%"
"研究・論文実績","ボタン","/tech-research","ウェブアドレス","anchors-mb81o6t04","212","26","12.3%"
"ボタン","ボタン","/","ウェブアドレス","AI開発","1,547","24","1.6%"
"n_a","画像","/company","ウェブアドレス","ホーム","858","23","2.7%"
"メッセージ","ボタン","/employment","ウェブアドレス","anchors-m9vkmydq4","294","22","7.5%"
"採用情報","ボタン","/company","ウェブアドレス","anchors-m9vkmycl","858","22","2.6%"
"AI開発","ボタン","/","ウェブアドレス","AI開発","1,547","20","1.3%"
"ボタン","ボタン","/","ウェブアドレス","共創型ビジネス＆IPライセンス","1,547","18","1.2%"
"プロジェクトを見る","ボタン","/project","ウェブアドレス","https://www.elith.ai/project/case-008","335","18","5.4%"
"Wantedlyを見る","ボタン","/employment","ウェブアドレス","https://www.wantedly.com/companies/company_2668520","294","18","6.1%"
"記事を読む","ボタン","/ai-development","ウェブアドレス","JFEエンジニアリング株式会社","260","18","6.9%"
"プロジェクトを見る","ボタン","/project","ウェブアドレス","https://www.elith.ai/project/case-006","335","17","5.1%"
"機械学習分野最高峰の国際会議「ICLR2025」workshopにて論文採択","テキストリンク","/","ウェブアドレス","https://www.elith.ai/news/elith、機械学習分野最高峰の国際会議「iclr-2025」のワークショップにて論文採択","1,547","17","1.1%"
"研究","ボタン","/company","ウェブアドレス","研究","858","17","2%"
"選ばれる理由","ボタン","/ai-development","ウェブアドレス","anchors-mbi2pee01","260","16","6.2%"
"プロジェクトを見る","ボタン","/project","ウェブアドレス","https://www.elith.ai/project/case-002","335","15","4.5%"
"AI開発","ボタン","/company","ウェブアドレス","AI開発","858","15","1.7%"
